resume,job_description,label
"Experienced developer skilled in Django, Python, Docker, Kubernetes, Flask.","We are looking for a developer with experience in Django, Python, Docker, Kubernetes, Flask.",1
"Experienced developer skilled in Docker, Kafka, AWS, Express.js, TypeScript.","We are looking for a developer with experience in Node.js, GraphQL, Redis, React, PostgreSQL.",0
"Experienced developer skilled in TypeScript, Django, Docker, React, Redis.","We are looking for a developer with experience in TypeScript, Django, Docker, React, Redis.",1
"Experienced developer skilled in React, PostgreSQL, GraphQL, Kafka, Python.","We are looking for a developer with experience in Express.js, Node.js, Kubernetes, Django, MongoDB.",0
"Experienced developer skilled in Kubernetes, AWS, Express.js, Python, Kafka.","We are looking for a developer with experience in Kubernetes, AWS, Express.js, Python, Kafka.",1
"Experienced developer skilled in Python, Docker, MongoDB, Django, PostgreSQL.","We are looking for a developer with experience in Redis, Express.js, React, TypeScript, Kafka.",0
"Experienced developer skilled in AWS, Next.js, Redis, TypeScript, Express.js.","We are looking for a developer with experience in AWS, Next.js, Redis, TypeScript, Express.js.",1
"Experienced developer skilled in MongoDB, Node.js, React, AWS, Kubernetes.","We are looking for a developer with experience in TypeScript, Next.js, Docker, Kafka, Django.",0
"Experienced developer skilled in MongoDB, Kafka, Node.js, TypeScript, Django.","We are looking for a developer with experience in MongoDB, Kafka, Node.js, TypeScript, Django.",1
"Experienced developer skilled in AWS, Node.js, Express.js, GraphQL, React.","We are looking for a developer with experience in Kafka, Flask, MongoDB, Redis, Python.",0
"Experienced developer skilled in Docker, Node.js, Django, Kubernetes, TypeScript.","We are looking for a developer with experience in Docker, Node.js, Django, Kubernetes, TypeScript.",1
"Experienced developer skilled in React, Express.js, AWS, PostgreSQL, Flask.","We are looking for a developer with experience in Kafka, Django, TypeScript, Node.js, Redis.",0
"Experienced developer skilled in Node.js, Django, Python, MongoDB, Kubernetes.","We are looking for a developer with experience in Node.js, Django, Python, MongoDB, Kubernetes.",1
"Experienced developer skilled in Redis, PostgreSQL, Express.js, Kubernetes, React.","We are looking for a developer with experience in GraphQL, Docker, Next.js, MongoDB, TypeScript.",0
"Experienced developer skilled in Kubernetes, TypeScript, Next.js, Kafka, Express.js.","We are looking for a developer with experience in Kubernetes, TypeScript, Next.js, Kafka, Express.js.",1
"Experienced developer skilled in Next.js, Redis, Node.js, React, Express.js.","We are looking for a developer with experience in Kubernetes, Kafka, MongoDB, Flask, PostgreSQL.",0
"Experienced developer skilled in PostgreSQL, Next.js, Docker, TypeScript, Flask.","We are looking for a developer with experience in PostgreSQL, Next.js, Docker, TypeScript, Flask.",1
"Experienced developer skilled in Kubernetes, Node.js, GraphQL, TypeScript, Docker.","We are looking for a developer with experience in Redis, Express.js, Django, PostgreSQL, React.",0
"Experienced developer skilled in Python, Redis, Node.js, React, MongoDB.","We are looking for a developer with experience in Python, Redis, Node.js, React, MongoDB.",1
"Experienced developer skilled in MongoDB, Kubernetes, Next.js, Redis, TypeScript.","We are looking for a developer with experience in Kafka, Python, GraphQL, Docker, PostgreSQL.",0
"Experienced developer skilled in Kafka, Flask, Python, React, Node.js.","We are looking for a developer with experience in Kafka, Flask, Python, React, Node.js.",1
"Experienced developer skilled in Docker, TypeScript, Kubernetes, Flask, Django.","We are looking for a developer with experience in Express.js, Kafka, Next.js, React, Python.",0
"Experienced developer skilled in Flask, Redis, MongoDB, Next.js, Kafka.","We are looking for a developer with experience in Flask, Redis, MongoDB, Next.js, Kafka.",1
"Experienced developer skilled in Python, Redis, React, Express.js, MongoDB.","We are looking for a developer with experience in Flask, AWS, TypeScript, Next.js, PostgreSQL.",0
"Experienced developer skilled in Node.js, Docker, Django, Flask, Express.js.","We are looking for a developer with experience in Node.js, Docker, Django, Flask, Express.js.",1
"Experienced developer skilled in Docker, MongoDB, Node.js, AWS, React.","We are looking for a developer with experience in GraphQL, Python, Express.js, TypeScript, Django.",0
"Experienced developer skilled in GraphQL, Flask, React, PostgreSQL, Docker.","We are looking for a developer with experience in GraphQL, Flask, React, PostgreSQL, Docker.",1
"Experienced developer skilled in Kafka, GraphQL, Redis, Python, AWS.","We are looking for a developer with experience in Docker, Node.js, PostgreSQL, TypeScript, Flask.",0
"Experienced developer skilled in MongoDB, AWS, React, Express.js, Next.js.","We are looking for a developer with experience in MongoDB, AWS, React, Express.js, Next.js.",1
"Experienced developer skilled in Python, TypeScript, Node.js, Django, Docker.","We are looking for a developer with experience in Kafka, Flask, Next.js, Redis, GraphQL.",0
"Experienced developer skilled in MongoDB, GraphQL, Next.js, Django, Flask.","We are looking for a developer with experience in MongoDB, GraphQL, Next.js, Django, Flask.",1
