job_id,job_description
1,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
2,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
3,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
4,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
5,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
6,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
7,AI product manager with background in NLP and ML model lifecycle management.
8,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
9,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
10,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
11,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
12,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
13,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
14,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
15,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
16,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
17,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
18,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
19,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
20,AI product manager with background in NLP and ML model lifecycle management.
21,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
22,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
23,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
24,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
25,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
26,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
27,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
28,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
29,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
30,AI product manager with background in NLP and ML model lifecycle management.
31,AI product manager with background in NLP and ML model lifecycle management.
32,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
33,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
34,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
35,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
36,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
37,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
38,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
39,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
40,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
41,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
42,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
43,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
44,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
45,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
46,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
47,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
48,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
49,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
50,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
51,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
52,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
53,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
54,AI product manager with background in NLP and ML model lifecycle management.
55,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
56,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
57,AI product manager with background in NLP and ML model lifecycle management.
58,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
59,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
60,AI product manager with background in NLP and ML model lifecycle management.
61,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
62,AI product manager with background in NLP and ML model lifecycle management.
63,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
64,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
65,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
66,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
67,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
68,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
69,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
70,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
71,AI product manager with background in NLP and ML model lifecycle management.
72,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
73,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
74,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
75,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
76,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
77,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
78,AI product manager with background in NLP and ML model lifecycle management.
79,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
80,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
81,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
82,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
83,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
84,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
85,AI product manager with background in NLP and ML model lifecycle management.
86,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
87,AI product manager with background in NLP and ML model lifecycle management.
88,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
89,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
90,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
91,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
92,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
93,AI product manager with background in NLP and ML model lifecycle management.
94,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
95,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
96,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
97,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
98,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
99,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
100,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
101,AI product manager with background in NLP and ML model lifecycle management.
102,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
103,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
104,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
105,AI product manager with background in NLP and ML model lifecycle management.
106,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
107,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
108,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
109,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
110,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
111,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
112,AI product manager with background in NLP and ML model lifecycle management.
113,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
114,AI product manager with background in NLP and ML model lifecycle management.
115,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
116,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
117,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
118,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
119,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
120,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
121,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
122,AI product manager with background in NLP and ML model lifecycle management.
123,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
124,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
125,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
126,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
127,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
128,AI product manager with background in NLP and ML model lifecycle management.
129,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
130,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
131,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
132,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
133,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
134,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
135,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
136,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
137,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
138,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
139,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
140,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
141,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
142,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
143,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
144,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
145,AI product manager with background in NLP and ML model lifecycle management.
146,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
147,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
148,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
149,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
150,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
151,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
152,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
153,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
154,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
155,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
