job_id,job_desciption
0,"We are looking for a developer with experience in Django, Python, Docker, Kubernetes, Flask."
1,"We are looking for a developer with experience in Node.js, GraphQL, Redis, React, PostgreSQL."
2,"We are looking for a developer with experience in TypeScript, Django, Docker, React, Redis."
3,"We are looking for a developer with experience in Express.js, Node.js, Kubernetes, Django, MongoDB."
4,"We are looking for a developer with experience in Kubernetes, AWS, Express.js, Python, Kafka."
5,"We are looking for a developer with experience in Redis, Express.js, React, TypeScript, Kafka."
6,"We are looking for a developer with experience in AWS, Next.js, Redis, TypeScript, Express.js."
7,"We are looking for a developer with experience in TypeScript, Next.js, Docker, Kafka, Django."
8,"We are looking for a developer with experience in MongoDB, Kafka, Node.js, TypeScript, Django."
9,"We are looking for a developer with experience in Kafka, Flask, MongoDB, Redis, Python."
10,"We are looking for a developer with experience in Docker, Node.js, Django, Kubernetes, TypeScript."
11,"We are looking for a developer with experience in Kafka, Django, TypeScript, Node.js, Redis."
12,"We are looking for a developer with experience in Node.js, Django, Python, MongoDB, Kubernetes."
13,"We are looking for a developer with experience in GraphQL, Docker, Next.js, MongoDB, TypeScript."
14,"We are looking for a developer with experience in Kubernetes, TypeScript, Next.js, Kafka, Express.js."
15,"We are looking for a developer with experience in Kubernetes, Kafka, MongoDB, Flask, PostgreSQL."
16,"We are looking for a developer with experience in PostgreSQL, Next.js, Docker, TypeScript, Flask."
17,"We are looking for a developer with experience in Redis, Express.js, Django, PostgreSQL, React."
18,"We are looking for a developer with experience in Python, Redis, Node.js, React, MongoDB."
19,"We are looking for a developer with experience in Kafka, Python, GraphQL, Docker, PostgreSQL."
20,"We are looking for a developer with experience in Kafka, Flask, Python, React, Node.js."
21,"We are looking for a developer with experience in Express.js, Kafka, Next.js, React, Python."
22,"We are looking for a developer with experience in Flask, Redis, MongoDB, Next.js, Kafka."
23,"We are looking for a developer with experience in Flask, AWS, TypeScript, Next.js, PostgreSQL."
24,"We are looking for a developer with experience in Node.js, Docker, Django, Flask, Express.js."
25,"We are looking for a developer with experience in GraphQL, Python, Express.js, TypeScript, Django."
26,"We are looking for a developer with experience in GraphQL, Flask, React, PostgreSQL, Docker."
27,"We are looking for a developer with experience in Docker, Node.js, PostgreSQL, TypeScript, Flask."
28,"We are looking for a developer with experience in MongoDB, AWS, React, Express.js, Next.js."
29,"We are looking for a developer with experience in Kafka, Flask, Next.js, Redis, GraphQL."
30,"We are looking for a developer with experience in MongoDB, GraphQL, Next.js, Django, Flask."
